level_name,observation_type,seed,win,lose,success,steps,total_reward,elapsed_sec,error
build_level_basic_movement,level,1,True,False,True,4,-9.0,0.6078280000074301,
build_level_basic_movement,level,2,True,False,True,4,-9.0,0.10678279100102372,
build_level_basic_movement,level,3,True,False,True,4,-9.0,0.1052577500231564,
build_level_basic_movement,level,4,True,False,True,4,-9.0,0.10139225001330487,
build_level_basic_movement,level,5,True,False,True,4,-9.0,0.10000087498337962,
build_level_capstone,level,1,True,False,True,25,-72.0,1.3856751670246013,
build_level_capstone,level,2,True,False,True,25,-72.0,2.344130582991056,
build_level_capstone,level,3,True,False,True,25,-72.0,1.572278500010725,
build_level_capstone,level,4,True,False,True,25,-72.0,1.3692557080066763,
build_level_capstone,level,5,True,False,True,25,-72.0,1.1324432090041228,
build_level_enemy_patrol,level,1,True,False,True,10,-27.0,1.4683367089892272,
build_level_enemy_patrol,level,2,True,False,True,10,-27.0,1.3075833749899175,
build_level_enemy_patrol,level,3,True,False,True,10,-27.0,1.7448407909832895,
build_level_enemy_patrol,level,4,True,False,True,10,-27.0,1.4481537500105333,
build_level_enemy_patrol,level,5,True,False,True,10,-27.0,1.4131234170054086,
build_level_hazard_detour,level,1,True,False,True,16,-45.0,0.716865249996772,
build_level_hazard_detour,level,2,True,False,True,16,-45.0,0.6849896250059828,
build_level_hazard_detour,level,3,True,False,True,16,-45.0,0.7563933329947758,
build_level_hazard_detour,level,4,True,False,True,16,-45.0,0.6446902909956407,
build_level_hazard_detour,level,5,True,False,True,16,-45.0,0.6504457079863641,
build_level_key_door,level,1,True,False,True,12,-33.0,0.4312020830111578,
build_level_key_door,level,2,True,False,True,12,-33.0,0.3618027089978568,
build_level_key_door,level,3,True,False,True,12,-33.0,0.5509446249925531,
build_level_key_door,level,4,True,False,True,12,-33.0,0.40718383400235325,
build_level_key_door,level,5,True,False,True,12,-33.0,0.3545865420019254,
build_level_maze_turns,level,1,True,False,True,10,-27.0,0.3485627500049304,
