scope,level_name,observation_type,episodes,success_rate,average_reward,average_steps,average_elapsed_sec
overall,ALL_LEVELS,level,70,1.0,-34.714285714285715,12.571428571428571,0.5872169047851847
per_level,build_level_basic_movement,level,5,1.0,-9.0,4.0,0.20425233320565894
per_level,build_level_capstone,level,5,1.0,-72.0,25.0,1.5607566334074363
per_level,build_level_enemy_patrol,level,5,1.0,-27.0,10.0,1.4764076083956752
per_level,build_level_hazard_detour,level,5,1.0,-45.0,16.0,0.6906768413959071
per_level,build_level_key_door,level,5,1.0,-33.0,12.0,0.42114395860116927
per_level,build_level_maze_turns,level,5,1.0,-27.0,10.0,0.2916173750010785
per_level,build_level_optional_coin,level,5,1.0,-27.0,10.0,0.21914480840787293
per_level,build_level_portal_shortcut,level,5,1.0,-21.0,8.0,0.1542470081942156
per_level,build_level_power_boots,level,5,1.0,-27.0,10.0,0.5715394583996385
per_level,build_level_power_ghost,level,5,1.0,-48.0,17.0,0.8153244417917449
per_level,build_level_power_shield,level,5,1.0,-42.0,15.0,0.5225895252020564
per_level,build_level_pushable_box,level,5,1.0,-21.0,8.0,0.19170389139908367
per_level,build_level_required_one,level,5,1.0,-24.0,9.0,0.26257145839044826
per_level,build_level_required_two,level,5,1.0,-63.0,22.0,0.8390613252006005
overall,ALL_LEVELS,image,70,0.9714285714285714,-36.042857142857144,13.014285714285714,1.3692638719728816
per_level,build_level_basic_movement,image,5,1.0,-9.0,4.0,0.29935610000393353
per_level,build_level_capstone,image,5,1.0,-96.0,33.0,2.5855068665987346
per_level,build_level_enemy_patrol,image,5,0.8,-23.4,8.8,2.142188833002001
per_level,build_level_hazard_detour,image,5,1.0,-45.0,16.0,1.26220038360334
per_level,build_level_key_door,image,5,1.0,-33.0,12.0,1.6288994416070637
per_level,build_level_maze_turns,image,5,1.0,-27.0,10.0,1.3271337163983845
per_level,build_level_optional_coin,image,5,1.0,-27.0,10.0,1.104250049602706
per_level,build_level_portal_shortcut,image,5,1.0,-21.0,8.0,0.843717941606883
per_level,build_level_power_boots,image,5,0.8,-25.2,9.4,1.3102607250039
per_level,build_level_power_ghost,image,5,1.0,-48.0,17.0,1.771202583395643
per_level,build_level_power_shield,image,5,1.0,-42.0,15.0,1.2489161751989741
per_level,build_level_pushable_box,image,5,1.0,-21.0,8.0,0.8421320915978867
per_level,build_level_required_one,image,5,1.0,-24.0,9.0,0.7519778916030191
per_level,build_level_required_two,image,5,1.0,-63.0,22.0,2.051951408397872
